Index Name,Date,Open,High,Low,Close
NIFTY 50,2023-01-03,17360.1,17467.75,17345.25,17450.9
NIFTY 50,2023-02-03,17421.5,17445.8,17306,17321.9
NIFTY 50,2023-03-03,17451.25,17644.75,17427.7,17594.35
NIFTY 50,2023-04-03,17680.35,17799.95,17671.95,17711.45
NIFTY 50,2023-05-03,17665.75,17766.5,17602.25,17754.4
NIFTY 50,2023-06-03,17772.05,17772.35,17573.6,17589.6
NIFTY 50,2023-07-03,17443.8,17451.5,17324.35,17412.9
NIFTY 50,2023-08-03,17421.9,17529.9,17113.45,17154.3
NIFTY 50,2023-09-03,17160.55,17224.65,16987.1,17043.3
NIFTY 50,2023-10-03,17166.45,17211.35,16938.9,16972.15
NIFTY 50,2023-11-03,16994.65,17062.45,16850.15,16985.6
NIFTY 50,2023-12-03,17111.8,17145.8,16958.15,17100.05
NIFTY 50,2023-12-04,17066.6,17066.6,16828.35,16988.4
NIFTY 50,2023-12-05,17060.4,17127.7,17016,17107.5
NIFTY 50,2023-12-06,17177.45,17207.25,17107.85,17151.9
NIFTY 50,2023-12-07,17097.4,17205.4,17045.3,17076.9
NIFTY 50,2023-12-08,17076.2,17109.45,16917.35,16945.05
NIFTY 50,2023-12-09,16984.3,17091,16918.55,16985.7
NIFTY 50,2023-12-10,17031.75,17061.75,16913.75,16951.7
NIFTY 50,2023-12-11,16977.3,17126.15,16940.6,17080.7
NIFTY 50,2023-12-12,17210.35,17381.6,17204.65,17359.75
NIFTY 50,2023-12-13,17427.95,17428.05,17312.75,17398.05
NIFTY 50,2023-12-14,17422.3,17570.55,17402.7,17557.05
NIFTY 50,2023-12-15,17533.85,17638.7,17502.85,17599.15
NIFTY 50,2023-12-16,17634.9,17694.1,17597.95,17624.05
NIFTY 50,2023-12-17,17704.8,17748.75,17655.15,17722.3
NIFTY 50,2023-12-18,17759.55,17825.75,17717.25,17812.4
NIFTY 50,2023-12-19,17807.3,17842.15,17729.65,17828
NIFTY 50,2023-12-20,17863,17863,17574.05,17706.85
NIFTY 50,2023-12-21,17766.6,17766.6,17610.2,17660.15
NIFTY 50,2023-12-22,17653.35,17666.15,17579.85,17618.75
NIFTY 50,2023-12-23,17638.6,17684.45,17584.35,17624.45
NIFTY 50,2023-12-24,17639.75,17663.2,17553.95,17624.05
NIFTY 50,2023-12-25,17707.55,17754.5,17612.5,17743.4
NIFTY 50,2023-12-26,17761.55,17807.45,17716.85,17769.25
NIFTY 50,2023-12-27,17767.3,17827.75,17711.2,17813.6
NIFTY 50,2023-12-28,17813.1,17931.6,17797.9,17915.05
NIFTY 50,2023-12-29,17950.4,18089.15,17885.3,18065
NIFTY 50,2023-12-30,18124.8,18180.25,18101.75,18147.65
NIFTY 50,2023-12-31,18113.8,18116.35,18042.4,18089.85
NIFTY 50,2024-01-01,18081,18267.45,18066.7,18255.8
NIFTY 50,2024-01-02,18117.3,18216.95,18055.45,18069
NIFTY 50,2024-01-03,18120.6,18286.95,18100.3,18264.4
NIFTY 50,2024-01-04,18303.4,18344.2,18229.65,18265.95
NIFTY 50,2024-01-05,18313.6,18326.75,18211.95,18315.1
NIFTY 50,2024-01-06,18357.8,18389.7,18270.4,18297
NIFTY 50,2024-01-07,18273.75,18342.75,18194.55,18314.8
NIFTY 50,2024-01-08,18339.3,18458.9,18287.9,18398.85
NIFTY 50,2024-01-09,18432.35,18432.35,18264.35,18286.5
NIFTY 50,2024-01-10,18300.45,18309,18115.35,18181.75
NIFTY 50,2024-01-11,18287.5,18297.2,18104.85,18129.95
NIFTY 50,2024-01-12,18186.15,18218.1,18060.4,18203.4
NIFTY 50,2024-01-13,18201.1,18335.25,18178.85,18314.4
NIFTY 50,2024-01-14,18362.9,18419.75,18324.2,18348
NIFTY 50,2024-01-15,18294.8,18392.6,18262.95,18285.4
